,mov10
0,88698.1372
1,83746.9606
2,85430.5481
3,86979.6231
4,91052.0426
5,95141.2798
6,92575.7861
7,89832.9796
8,85006.9416
9,86200.4097
10,86795.5652
11,90617.6805
12,95240.6324
13,95133.1354
14,95276.5079
15,90126.7607
16,90138.3172
17,89827.7878
18,96057.9358
19,99343.46535
20,98197.77635
21,94564.67755
22,89244.35705
23,89494.61555
24,88872.80355
25,94767.71105
26,100824.5931
27,100278.9771
28,96177.12115
29,94937.5405
30,96646.8695
31,99780.0525
32,103433.0021
33,102069.2191
34,99699.8321
35,99141.0731
36,94130.6175
37,95337.5168
38,95879.0287
39,97765.2812
40,96881.3137
41,95716.9997
42,95104.5852
43,97629.5332
44,100453.0692
45,102500.4002
46,107424.8348
47,107125.5375
48,118671.8225
49,114657.543
50,117068.4825
51,120502.952
52,129862.2075
53,142255.8885
54,138915.1474
55,133396.5419
56,128243.2109
57,127644.4349
58,115900.9089
59,118127.2259
60,119540.7787
61,112987.6117
62,100446.9087
63,88553.4558
64,95423.7699
65,93716.7549
66,95388.7524
67,97681.6069
68,94817.4999
69,91569.5769
70,86441.9896
71,88939.0171
72,90885.0781
73,91533.148
74,89013.0565
75,87842.927
76,84728.9225
77,82872.4875
78,83822.1905
79,86026.3002
80,90288.5087
81,93171.3912
82,91852.5561
83,92451.628
84,86181.6795
85,88877.9795
86,91367.9055
87,92332.476
88,97061.27
89,94620.7333
90,90484.4623
91,85499.7663
92,86567.5839
93,84693.5845
94,89852.214
95,92377.762
96,91686.294
97,91580.015
98,91679.242
99,98396.3845
100,102784.7515
101,106865.6118
102,109540.0168
103,106621.4678
104,102820.3153
105,99986.3998
106,100444.0308
107,101208.8513
108,99441.7638
109,97751.5908
110,95641.2463
111,96853.4625
112,97305.996
113,109054.415
114,144590.8585
115,189334.786
116,217382.0185
117,249499.5115
118,251516.762
119,246409.1015
120,241983.1455
121,236878.4745
122,232319.879
123,221545.73
124,184426.9455
125,137684.8015
126,109509.159
127,74009.6235
128,67986.7845
129,72082.7575
130,79069.70975
131,80120.81275
132,81034.92205
133,82109.92905
134,85565.22855
135,89194.98655
136,95470.29505
137,101457.3986
138,101601.4841
139,98633.62655
140,95111.0553
141,95888.5463
142,95911.6415
143,98584.394
144,103008.9925
145,100907.845
146,95165.153
147,91731.0515
148,92929.9195
149,94899.8445
150,97859.3355
151,101447.682
152,101934.698
153,101181.2535
154,98729.6985
155,102735.3426
156,104031.3458
157,106095.0578
158,111066.5713
159,109320.0292
160,107673.245
161,104764.4406
162,106967.5726
163,107286.8991
164,111567.7146
165,114455.7959
166,116799.4787
167,116710.8977
168,112659.8077
169,115696.8927
170,116181.6559
171,118730.1168
172,123500.2271
173,126389.5967
174,129031.9702
175,123142.1787
176,119184.701
177,117519.074
178,119030.1685
179,121621.242
180,119432.646
181,115815.6981
182,108212.2751
183,103667.8221
184,98322.7136
185,106094.0002
186,112789.2755
187,118922.791
188,122955.376
189,122951.0175
190,125485.535
191,126392.5195
192,129873.6062
193,131944.9886
194,128274.1312
195,119949.0759
196,114241.2299
197,107536.5024
198,104649.4119
199,105079.5875
200,108631.0035
201,107476.429
202,104708.862
203,101995.6645
204,103521.5354
205,105357.8811
206,108268.2576
207,114801.9441
208,111541.5281
209,104505.9575
210,99850.8816
211,101362.0016
212,105258.3626
213,110989.7511
214,114985.6899
215,114319.7079
216,111116.7844
217,104472.4479
218,109621.8324
219,112917.3974
220,117103.4803
221,121230.6076
222,117972.2911
223,120508.2206
224,113117.1498
225,112191.2548
226,113415.2628
227,117268.0808
228,118411.2028
229,116724.6358
230,113134.3303
231,107803.564
232,107668.2265
233,100125.1415
234,107562.048
235,113917.17
236,112841.4365
237,110281.126
238,105679.9265
239,106016.9459
240,105537.6169
241,109414.9704
242,113094.2409
243,112668.4044
244,108240.4759
245,103294.4544
246,102008.2549
247,101688.0844
248,103222.4614
249,108553.4154
250,109054.7419
251,105776.2349
252,101251.4264
253,102283.3239
254,104349.0514
255,105909.1424
256,112120.0259
257,112426.7379
258,109512.7169
259,103173.725
260,102393.4575
261,103762.6157
262,107372.1062
263,112759.7632
264,109381.8067
265,107730.5157
266,102607.5407
267,102048.6107
268,106281.5097
269,111149.9897
270,116202.6442
271,113957.1675
272,112221.9755
273,107699.8253
274,109827.2983
275,110077.0329
276,114952.8124
277,121191.9289
278,117780.4489
279,114160.2279
280,111422.9924
281,117948.3184
282,120056.5704
283,123751.6867
284,128264.5927
285,129304.6786
286,125526.8071
287,119316.6106
288,120912.4191
289,124229.8386
290,124189.9106
291,121354.6266
292,122072.8246
293,119682.4784
294,120346.7849
295,120540.8578
296,121510.1313
297,125315.9044
298,128152.1207
299,127007.4562
300,126260.6812
301,126274.1242
302,124480.6207
303,125064.7255
304,122228.609
305,124870.547
306,125275.3715
307,124403.8384
308,119588.8286
309,120318.9381
310,122855.8961
311,125727.5236
312,127952.3341
313,125898.8539
314,124113.5324
315,121242.3285
316,120614.069
317,119703.603
318,123917.3394
319,125621.8351
320,121155.4356
321,117020.5271
322,115058.3456
323,116366.1386
324,119348.2696
325,123877.5856
326,130784.1737
327,131326.3507
328,129883.5718
329,129401.8777
330,131322.7362
331,133067.2817
332,136610.5647
333,139534.8787
334,135712.6935
335,132106.577
336,127313.0049
337,128980.6499
338,130494.7339
339,130690.2232
340,136706.7328
341,135568.4408
342,129883.5593
343,124507.7253
344,125880.2306
345,125880.5542
346,130116.7442
347,134915.0527
348,131218.0352
349,128718.0248
350,122193.4812
351,123447.8832
352,125086.0147
353,133933.0822
354,138343.4761
355,136705.3955
356,132207.1805
357,127148.668
358,129111.8025
359,131815.0856
360,139239.7446
361,144300.9356
362,144578.7766
363,138518.2586
364,135309.6181
365,138321.3706
366,140658.708
367,144830.212
368,152147.6825
369,151083.2779
370,144845.2721
371,139324.3356
372,140992.0816
373,141002.9361
374,147155.4225
375,153813.7952
376,150933.4848
377,146814.0498
378,139053.5308
379,137658.9346
380,142563.9029
381,148196.8559
382,155325.6445
383,153621.1298
384,147174.606
385,140154.5808
